44870007	Z722	true
307048004	#NC	true
976791000000107	#NC	true
190634004	D513	true
870588003	U071	true
185351004	Z020	true
987891000000105	Z729	true
90176007	J038	true
44186003	F519	true
160770002	Z719	true
1025741000000103	#NC	true
494311000000100	#NC	true
28127009	#NC	true
987891000000105	Z720	true
976871000000103	#NC	true
976911000000101	#NC	true
278543008	#NC	true
405737000	B279	true
1047281000000107	#NC	true
247441003	L538	true
445123002	#NC	true
1092031000000108	Z864	true
185351004	Z026	true
417532002	Z910	true
162340000	H903	true
386661006	P818	true
195967001	J458	true
56717001	A169	true
267036007	I501	true
79890006	F508	true
160631001	#NC	true
405737000	A168	true
870588003	U072	true
286369003	#NC	true
166603001	R945	true
233604007	J171A	true
267067009	N23X	true
203191000000107	#NC	true
160621008	Z864	true
233604007	J170A	true
240706001	P375	true
204751000000101	#NC	true
267095009	F800	true
866151004	U072	true
72934000	N771A	true
165232002	R32X	true
976651000000108	#NC	true
44870007	Z864	true
90781000119102	E112D	true
198130006	N739	true
288578001	#NC	true
119731000146105	I430A	true
408968008	Z300	true
439724007	Z824	true
49650001	R309	true
58972000	R391	true
386661006	R509	true
160734000	#NC	true
505001000000109	X443	true
976751000000104	#NC	true
190633005	E538	true
1363851000000101	Z282	true
723620004	Z269	true
506931000000109	#NC	true
858301000000107	R730	true
127013003	E142D	true
198130006	N738	true
62744007	R060	true
271825005	J80X	true
119981000146107	R060	true
26079004	G253	true
987891000000105	Z722	true
11466000	R188	true
21522001	R104	true
880529761000119102	J22X	true
870590002	U071	true
413763001	#NC	true
160938009	#NC	true
233604007	J188	true
413765008	#NC	true
719393008	#NC	true
23971007	R11X	true
11466000	R182	true
882784691000119100	J128	true
395108007	#NC	true
169491004	Z305	true
224363007	#NC	true
985151000000100	X449	true
44186003	G471	true
268519009	E139	true
95388000	R529	true
35240004	D501	true
162340000	H902	true
119981000146107	U072	true
279039007	M511D	true
1324581000000102	#NC	true
315213009	#NC	true
976711000000103	#NC	true
1464661000000106	#NC	true
275937001	Z803	true
371973000	C542	true
427970008	E059	true
224256005	#NC	true
1156270003	Z282	true
271398006	#NC	true
286051000000109	#NC	true
90781000119102	E112D	true
160592001	F102	true
824401000000105	#NC	true
240706001	B374	true
